disease,entrez_id
bone diseases,4276
bone diseases,10312
bone diseases,84572
bone diseases,9451
bone diseases,1594
bone diseases,1435
bone diseases,7124
bone diseases,6528
bone diseases,389136
bone diseases,7080
bone diseases,100507436
bone diseases,59341
bone diseases,1186
bone diseases,860
bone diseases,1184
bone diseases,864
bone diseases,25978
bone diseases,2697
bone diseases,2693
bone diseases,2692
bone diseases,10491
bone diseases,2690
bone diseases,150538
bone diseases,10678
bone diseases,132884
bone diseases,1161
bone diseases,139285
bone diseases,22918
bone diseases,8074
bone diseases,729816
bone diseases,64327
bone diseases,9755
bone diseases,5728
bone diseases,2132
bone diseases,5352
bone diseases,2131
bone diseases,10085
bone diseases,100169835
bone diseases,952
bone diseases,5191
bone diseases,5727
bone diseases,871
bone diseases,1298
bone diseases,4591
bone diseases,2033
bone diseases,51082
bone diseases,8675
bone diseases,1758
bone diseases,7474
bone diseases,1297
bone diseases,1278
bone diseases,147
bone diseases,4313
bone diseases,391282
bone diseases,207
bone diseases,5167
bone diseases,4318
bone diseases,1277
bone diseases,81794
bone diseases,392255
bone diseases,8792
bone diseases,389434
bone diseases,2121
bone diseases,1280
bone diseases,5447
bone diseases,8481
bone diseases,79158
bone diseases,100129584
bone diseases,57192
bone diseases,4853
celiac disease,3592
celiac disease,56169
celiac disease,7128
celiac disease,4026
celiac disease,23308
celiac disease,10477
celiac disease,4650
celiac disease,150962
celiac disease,3676
celiac disease,5820
celiac disease,59067
celiac disease,116028
celiac disease,1233
celiac disease,60468
celiac disease,3558
celiac disease,25949
celiac disease,8807
celiac disease,5996
celiac disease,2113
celiac disease,8809
celiac disease,1230
celiac disease,2720
celiac disease,29851
celiac disease,117289
celiac disease,647215
celiac disease,10019
celiac disease,1493
celiac disease,167826
celiac disease,79258
celiac disease,5771
celiac disease,431704
celiac disease,9173
celiac disease,359758
celiac disease,5619
celiac disease,5341
celiac disease,3117
celiac disease,100270859
celiac disease,864
celiac disease,389015
celiac disease,5796
celiac disease,6311
celiac disease,57514
celiac disease,57178
celiac disease,84162
celiac disease,2829
"limb deformities, congenital",57539
"limb deformities, congenital",374654
"limb deformities, congenital",81839
"limb deformities, congenital",2737
